coffee_name,total_score,roast_level,agtron_ground,agtron_roast,price_per_100g,roaster_country,origin_country
Ethiopia Yirgacheffe Huke Premium Natural G1,94,Light,62,80,6.17,USA,Ethiopia
Colombia El Vergel #1,94,Light,64,86,4.41,USA,Colombia
Ethiopia Sidama Bensa,94,Light,65,87,175.0,Taiwan,Ethiopia
Ethiopia Guji Rosechee Washed G1,94,Light,66,88,264.32,Taiwan,Ethiopia
Ethiopia Bench-Maji Lucy Geisha,94,Light,66,84,190.0,Taiwan,Ethiopia
Ethiopia Oromi Guji Hamela Wamena Tirtira Goyo Natural G1,95,Light,66,88,211.64,Taiwan,Ethiopia
Acacia Hills Geisha,96,Medium Light,58,80,10.58,USA,Tanzania
Nsoga Iweyza Tanzania,95,Medium Light,57,77,10.58,USA,Tanzania
Wilton Benitez Java,96,Light,59,93,8.82,USA,Colombia
Ethiopia Guji Narcissus Washed G1,94,Light,63,82,255.51,Taiwan,Ethiopia
Asobombo Colombia,94,Light,63,85,5.88,USA,Colombia
Panama Hacienda La Esmeralda Special Nano Geisha Gigante Washed Euphora Lot,96,Light,66,88,79.37,Taiwan,Panama
Costa Rica Las Lajas Black Diamond Bourbon,95,Light,72,102,8.23,USA,Costa Rica
Colombia Wilton Benitez Red Bourbon,94,Light,66,88,12.4,USA,Colombia
Colombia Wilton Benitez Yellow Bourbon,94,Light,65,90,12.4,USA,Colombia
Colombia Wilton Benitez Gesha Thermal Shock Wine Yeast,96,Light,68,92,24.8,USA,Colombia
Colombia Wilton Benitez Striped Bourbon Thermal Shock,95,Light,65,92,24.8,USA,Colombia
Ethiopia Mulish,94,Medium Light,58,78,7.5,USA,Ethiopia
Ethiopia Gesha Village Oma Gesha 1931 Natural,96,Light,59,83,799.0,Taiwan,Ethiopia
Ethiopia Djimma Limu Gummay Baby Geisha Washed,95,Light,64,88,158.29,Taiwan,Ethiopia
Ethiopia Yirgacheffe Kochere Halo Hartume Washed G1,94,Light,64,86,254.55,Taiwan,Ethiopia
Ethiopia Guji Bule Hambela TOH#1,94,Medium Light,57,76,264.11,Taiwan,Ethiopia
Ethiopia Natural Sidama Bensa Blue Donkey 24/1,96,Medium Light,60,77,154.32,Taiwan,Ethiopia
Peru Washed Los Santos Farm Gesha,95,Light,64,84,198.41,Taiwan,Peru
Peru Black Honey Los Santos Farm Gesha,94,Light,64,88,180.78,Taiwan,Peru
Nyeri Hill Kenya,94,Medium Light,58,76,6.76,USA,Kenya
Colombia Tabi La Roca,94,Light,57,87,14.99,USA,Colombia
Ethiopia Sidama West Arsi Nansebo Natural G1,95,Light,58,86,211.45,Taiwan,Ethiopia
Ethiopia Moonlight Delight Wine Process Natural,94,Light,66,88,330.4,Taiwan,Ethiopia
Colombia Caldas Twilight Geisha Natural,94,Light,58,86,330.4,Taiwan,Colombia
Wilton Benitez Orange Bourbon,95,Light,63,81,11.02,USA,Colombia
Costa Rica Tarrazú Tirra,94,Medium Light,58,82,7.05,USA,Costa Rica
Kona Maragogype,94,Medium Light,56,76,18.64,USA,USA
Ethiopia Natural Sidama Bensa Bombe,95,Medium Light,58,77,123.46,Taiwan,Ethiopia
Ethiopia Washed Bench Maji Baby Lucy Gesha,94,Light,64,86,132.28,Taiwan,Ethiopia
Taiwan Natural Meishan Ching-Ye Farm Lot 0116,94,Light,62,80,352.73,Taiwan,Taiwan
Gesha Spirits,96,Light,64,88,16.31,USA,Colombia
Colombia El Jardin Anaerobic Natural,94,Medium Light,59,81,6.16,USA,Colombia
Colombia Los Nogales Yellow Bourbon,94,Light,63,86,18.67,Japan,Colombia
Ethiopia Chelba Natural,94,Medium Light,51,80,175.0,Taiwan,Ethiopia
Tanzania Karatu Acacia Hills Geisha Washed AB Espresso,94,Medium Light,58,80,399.0,Taiwan,Tanzania
Las Margaritas Geisha Honey,95,Light,62,84,11.02,USA,Colombia
Colombia Papayo,94,Light,62,86,8.82,USA,Colombia
Las Margaritas Sudan Rume Natural,94,Medium Light,59,82,17.64,USA,Colombia
Colombia Green Apple Castillo,94,Light,63,86,18.52,USA,Colombia
Colombia La Palma Y Tucán Heroes Series Geisha,94,Light,64,97,12.78,USA,Colombia
Ethiopia Sidamo Bensa Anaerobic Washed,94,Light,59,94,93.77,Taiwan,Ethiopia
Ethiopia Sidama Orange Blossom Washed G1,94,Light,64,82,220.26,Taiwan,Ethiopia
Ethiopia Washed Sidama Bensa Single Variety 74158,94,Light,62,82,264.32,Taiwan,Ethiopia
Guatemala Bella Carmona,94,Medium Light,57,79,5.88,USA,Guatemala
Wilton Benitez Sidra,95,Light,57,89,11.46,USA,Colombia
Putra Gayo Sumatra,94,Light,60,88,6.76,USA,Indonesia
Colombia José Julián Giraldo Pink Bourbon Panela Sticky,95,Light,65,89,17.0,USA,Colombia
Kenya Gatirima AA,94,Light,66,88,6.76,USA,Kenya
Kenya Washed Kirinyaga Getuya AA Top,96,Light,62,80,158.73,Taiwan,Kenya
Ethiopia Natural Sidama Espresso,95,Light,66,86,97.0,Taiwan,Ethiopia
True Love Espresso Blend,94,Medium Light,57,77,114.64,Taiwan,Guatemala
Guatemala Honey Finca El General Gesha,94,Light,62,80,264.55,Taiwan,Guatemala
Ethiopia Natural Sidama Bacha 74110,95,Light,66,88,143.3,Taiwan,Ethiopia
Ethiopia Yirgacheffe Adame G1 Washed 95,95,Light,67,92,140.65,Taiwan,Ethiopia
Colombia Linarco Rodriguez Ospina Pink Bourbon Washed 94,94,Light,62,81,268.52,Taiwan,Colombia
Ethiopia Guji Uraga Haro Adama Washed G1,94,Light,67,90,123.02,Taiwan,Ethiopia
Colombia Edwin Enrique Noreña / Black Honey Watermelon & Lulo Co-Ferment,94,Light,64,88,1.18,USA,Colombia
Colombia Edwin Enrique Noreña / Black Honey Pink Bourbon Mosto & Passionfruit Co-Ferment,94,Light,65,86,1.18,USA,Colombia
Colombia Edwin Enrique Noreña Pink Bourbon,95,Light,62,80,14.81,USA,Colombia
Rwanda Humure Abishyizehamwe Low-Oxygen Natural,94,Light,62,84,8.16,USA,Rwanda
Candy Crush,94,Light,64,86,153.85,Taiwan,Ethiopia
Panama Clara Finca Auromar,94,Medium Light,60,79,136.68,Taiwan,Panama
Kona Geisha Peaberry Yeast Fermentation Washed,95,Light,59,84,70.55,USA,USA
Colombia Finca La Secreta Lychee Caturra Anaerobic,94,Light,62,84,8.82,USA,Colombia
Colombia Lychee Co-Ferment,94,Medium Light,59,81,9.92,USA,Colombia
Reserve Costa Rica Don Noel SL28,94,Light,60,82,8.23,USA,Costa Rica
Ethiopia Rumadamo Anaerobic Washed,96,Light,66,91,16.17,USA,Ethiopia
Ethiopia Djimma Limu Gummay Baby Geisha G1 Washed,96,Light,67,90,300.0,Taiwan,Ethiopia
La Papaya Pacamara Natural Ecuador,94,Light,60,84,9.7,USA,Ecuador
Palo de Rosa Pink Bourbon Colombia,94,Medium Light,61,79,9.7,USA,Colombia
Java Argopuro Mountain Natural SOE,94,Medium Light,56,79,7.94,USA,Indonesia
Rwanda Rambagirakawa,94,Medium Light,59,77,7.64,USA,Rwanda
Colombia Rigoberto Herrera Granja La Esperanza Hybrid Washed Gesha,95,Light,66,90,24.0,USA,Colombia
Colombia El Diviso,94,Light,75,90,396.83,Taiwan,Colombia
Colombia Limited Release 2024,94,Light,66,83,10.58,USA,Colombia
Colombia Wilton Benitez Orange Bourbon,94,Light,62,84,22.49,USA,Colombia
Colombia El Vergel #1,95,Light,62,80,4.41,USA,Colombia
Colombia Luna Azul,94,Light,66,88,7.35,USA,Colombia
Colombia Cauca Castillo K-01,94,Medium Light,59,82,15.87,USA,Colombia
Ethiopia Sidama G4 Wamena Natural Espresso,94,Medium Light,59,81,127.75,Taiwan,Ethiopia
Colombia El Paraiso Lychee Rose,94,Light,65,87,500.0,Taiwan,Colombia
Colombia Cauca Finca EI Paraiso 92 Pink Bourbon,95,Light,66,92,300.0,Taiwan,Colombia
Kona Geisha Washed,96,Light,64,86,88.18,USA,USA
Karen J Kona Red Bourbon Anaerobic,95,Medium Light,58,82,24.23,USA,USA
Ethiopia Kayon Mountain,95,Light,65,86,7.05,USA,Ethiopia
Ethiopia Yirgacheffe Chelchele Washed G1,94,Light,62,86,145.06,Taiwan,Ethiopia
Kenya Nyeri Hill,94,Light,62,80,6.47,USA,Kenya
Colombia Wilder Lasso Geisha Lot 2 Anaerobic Washed,95,Light,66,103,26.67,USA,Colombia
Dragon Strong Espresso,94,Medium,45,62,286.34,Taiwan,Costa Rica
Ethiopia Sidama Bombe Tadisa,94,Light,68,90,195.0,Taiwan,Ethiopia
Riripa Ethiopia,95,Light,60,84,5.88,USA,Ethiopia
Ethiopia Washed Guji Uraga Haro Adama,95,Light,64,86,123.46,Taiwan,Ethiopia
Ethiopia Washed Kaffa Lot Rich Espresso,94,Medium Light,58,78,88.18,Taiwan,Ethiopia
Ethiopia Washed Kaffa Lot Taco,94,Light,64,82,110.23,Taiwan,Ethiopia
Ethiopia Natural Sidama Karamo Niguse Gemeda 74158,94,Light,62,84,136.68,Taiwan,Ethiopia
Rainy Season in Fort Zeelandia Espresso Blend,94,Medium Light,56,74,141.09,Taiwan,Guatemala
Kenya Nyeri Kianjogu AA TOP Washed,94,Light,62,82,176.37,Taiwan,Kenya
Colombia La Esperanza Red Bourbon,94,Light,64,82,5.59,USA,Colombia
Guatemala Finca Al Bosque,94,Medium Light,60,78,5.59,USA,Guatemala
Marcela Gesha Espresso,95,Light,67,88,21.6,USA,Colombia
Colombia Paraiso 92 Double Anaerobic,95,Medium Light,52,74,215.0,Taiwan,Colombia
Colombia Sierra Morena Pink Bourbon,95,Light,60,84,7.35,USA,Colombia
Ethiopia Growers Reserve Gesha Village Gaylee Special Fermentation,94,Light,65,85,396.48,Taiwan,Ethiopia
Ethiopia Anaerobic Washed G1 Wild Rose S.O. Sidamo,94,Light,62,83,282.61,Taiwan,Ethiopia
