coffee_name;total_score;roaster_location;coffee_origin;roast_level;est._price;agtron_ground;agtron_roast;price_per_100g;price_per_ounce;origin_country
Kaʻū Yellow Bourbon;95;Hilo, Hawai’i Island, Hawai’i;Kaʻū growing region, Hawai’i Island, Hawai’i;Medium Light;$44.00/10 ounces;60;80;15,52;44.0;
Colombia San Adolfo Huila;95;San Diego, California;Huila Department, Colombia;Light;$40.00/8 ounces;65;87;17,64;40.0;Colombia
Rwanda Kungahara Carbonic Maceration;95;Floyd, Virginia;Rustiro, Rwanda;Light;$28.00/12 ounces;64;86;8,23;28.0;Rwanda
Ecuador La Papaya Pacamara;95;Fort Wayne, Indiana;Saraguro, Loja, Ecuador;Light;$29.00/8 ounces;64;86;12,79;29.0;Ecuador
Peru Churupampa Pacamara;94;Fort Wayne, Indiana;Jaén, Cajamarca, Peru;Medium Light;$22.00/12 ounces;59;80;6,47;22.0;Peru
Ethiopia Ayla Sidamo;95;Fort Wayne, Indiana;Sidamo growing region, southern Ethiopia;Light;$20.00/ 12 ounces;62;84;5,88;20.0;Ethiopia
Ethiopia Mullugeta Muntasha;94;Fort Wayne, Indiana;Bursa Village, Arbegona, Sidama growing region, southern Ethiopia;Medium Light;$23.00/12 ounces;61;79;6,76;23.0;Ethiopia
Ka’u Giant Maragogipe;94;Hilo, Hawai'i;Ka’u growing region, Hawai’i Island, Hawai’i;Medium Light;$42.00/10 ounces;52;73;14,81;42.0;
Ka’u Red Bourbon;95;Hilo, Hawai'i;Ka’u growing region, Hawai’i Island, Hawai’i;Medium Light;$44.00/10 ounces;60;78;15,52;44.0;
Kona Bloom;94;Hilo, Hawai'i;Kona District, Hawai’i Island, Hawai’i;Medium Light;$44.00/10 ounces;57;78;15,52;44.0;
Guatemala Retiro del Quisaya Washed Process;94;Durango, Colorado;San Martin Jilotepeque, Chimaltenango Department, Guatemala;Medium Light;$19.95/12 ounces;57;79;5,86;19.95;Guatemala
Ethiopian Single Origin;94;Norfolk, Virginia;Ethiopia;Medium Light;$16.99/12 ounces;52;74;4,99;16.99;Ethiopia
Colombia Finca Al Paraiso Y–05 Lychee;95;Glendale, California;Piendamó, Cauca Department, Colombia;Medium;$30.50/12 ounces;52;64;8,97;45807,00;Colombia
Colombia Las Perlitas Anaerobic Honey;94;Santa Fe, New Mexico;Medellin, Colombia;Medium Light;$25.00/227 grams;59;81;11,01;0.8818342151675485;Colombia
Panama Altieri Luci Geisha Natural Cold Dry Ferment;94;Los Angeles, California;Boquete growing region, western Panama;Medium Light;$59.95/170 grams;58;81;35,26;2.1146384479717812;Panama
Costa Rica La Minita;94;Tulsa, Oklahoma;Los Santos, Tarrazú, Costa Rica;Medium Light;$22.00/12 ounces;56;82;6,47;22.0;Rica
Ethiopia Guji Grape GildVine Natural G1;94;Tainan, Taiwan;Guji Zone, Oromia region, southern Ethiopia;Light;NT $500/227 grams;67;88;220,26;17.636684303350968;Ethiopia
Kenya Baragwi Guama AA Washed;95;Baronett, Wisconsin;Guama Village, Kirinyaga County, Kenya;Light;$21.00/12 ounces;61;83;6,17;21.0;Kenya
Potosi Pink Bourbon Natural Colombia;96;Madison, Wisconsin;Trujillo, Valle Del Cauca, Cauca Department, Colombia;Light;$29.00/8 ounces;64;86;12,79;29.0;Colombia
Wilton Benitez Sudan Rume Colombia;95;Madison, Wisconsin;Piendamó, Cauca Department, Colombia;Light;$25.00/8 ounces;62;82;11,02;25.0;Colombia
Kangocho Kenya;95;Madison, Wisconsin;Nyeri County, Kenya;Medium Light;$25.00/12 ounces;59;81;7,35;25.0;Kenya
La Esperanza Mandela;95;Madison, Wisconsin;Trujillo, Valle Del Cauca, Cauca Department, Colombia;Light;$27.00/8 ounces;62;80;11,9;27.0;Colombia
Mexico Alva Flores;94;Fort Wayne, Indiana;Santa Cruz, Ozolotepec, Oaxaca, Mexico;Medium Light;$18.00/12 ounces;54;72;5,29;18.0;Mexico
