coffee_name;total_score;roaster_location;coffee_origin;roast_level;est._price;agtron_ground;agtron_roast;price_per_100g;price_per_ounce;origin_country;clean_location
Costa Rica Sumava Natural Lot;94.0;Sacramento, California;Lourdes de Naranjo, West Valley, Costa Rica;Light;$20.00/250 grams;61.0;85.0;8;0.7054673721340388;Rica;sacramento, california
Panama Auromar Geisha Natural Peaberry;96.0;Topeka, Kansas;Boquete growing region, western Panama;Medium Light;$40.00/8 ounces;53.0;70.0;17,64;40.0;Panama;topeka, kansas
El Burro Geisha Tachi Natural;95.0;Ovledo, Florida;Boquete growing region, western Panama;Medium Light;$46.95/12 ounces;55.0;75.0;13,8;46.95;Panama;ovledo, florida
Holiday Blend;95.0;Bozeman, Montana;"Ethiopia; Kenya.";Medium Light;$15.25/12 ounces;54.0;77.0;4,48;15.25;;bozeman, montana
Holiday Blend;95.0;Kaohsiung, Taiwan;"Guatemala; Ethiopia.";Light;$25.00/8 ounces;66.0;82.0;11,02;25.0;;kaohsiung, taiwan
Nicaragua Pacamara Los Congos Lot #8;95.0;Sacramento, California;San Fernando, Nueva Segovia region, Nicaragua;Light;$20.00/250 grams;68.0;82.0;8;0.7054673721340388;Nicaragua;sacramento, california
Panama Boquete Kotowa Gesha Natural;94.0;Torrington, Connecticut;Boquete growing region, western Panama;Light;$45.00/8 ounces;64.0;84.0;19,84;45.0;Panama;torrington, connecticut
Holiday Blend;94.0;Olympia, Washington;"Honduras; Kenya; Ethiopia";Medium Light;$18.90/12 ounces;59.0;70.0;5,56;45918,00;Ethiopia;olympia, washington
Panama Finca Auromar Camilina Natural;94.0;Branford, Connecticut;Piedra Candela, Chiriqui Province, western Panama;Light;$50.00/8 ounces;66.0;90.0;22,05;50.0;Panama;branford, connecticut
El Aguila SL-28 El Salvador;94.0;Madison, Wisconsin;Santa Ana growing region, El Salvador;Medium Light;$18.75/12 ounces;58.0;77.0;5,51;18.75;Salvador;madison, wisconsin
Ethiopia Sidama Special Lot Natural;95.0;Boulder, Colorado;Guji Zone, Sidama Province, southern Ethiopia;Light;$18.00/12 ounces;63.0;86.0;5,29;18.0;Ethiopia;boulder, colorado
Panama Finca Deborah Caturra Natural;94.0;Sacramento, California;Chiriqui, Boquete growing region, western Panama;Light;$20.00/8 ounces;65.0;88.0;8,82;20.0;Panama;sacramento, california
Nekisse Red N2 Level 39;96.0;Pu'Er Yunnan Province, China;Sidamo (also Sidama) growing region, southern Ethiopia;Medium Light;RMB $235/125 grams;63.0;74.0;188;;Ethiopia;pu'er yunnan province, china
Panama La Esmeralda Bosque Lot 1 Gesha;94.0;San Diego, California;Boquete growing region, western Panama;Light;$48.00/8 ounces;64.0;85.0;21,16;48.0;Panama;san diego, california
Finca La Mula Panama Geisha Natural;95.0;Madison, Wisconsin;Chiriqui, western Panama.;Medium Light;$49.95/8 ounces;52.0;73.0;22,02;49.95;;madison, wisconsin
La Lagunita El Salvador;94.0;Madison, Wisconsin;Apaneca, El Salvador;Medium Light;$18.75/12 ounces;59.0;79.0;5,51;18.75;Salvador;madison, wisconsin
Kenya Kinuyu AA;95.0;Sacramento, California;Kirinyaga District, south-central Kenya;Medium Light;$21.00/12 ounces;57.0;70.0;6,17;21.0;Kenya;sacramento, california
Costa Rica Alberto Guardia Venecia Honey;94.0;Sacramento, California;Central Valley, Costa Rica;Light;$18.50/12 ounces;63.0;85.0;5,44;45795,00;Rica;sacramento, california
Nicaragua Cafe Vidita Los Congos Pacamara Natural;95.0;Boulder, Colorado;Nueva Segovia, Nicaragua;Light;$18.00/12 ounces;63.0;91.0;5,29;18.0;Nicaragua;boulder, colorado
Kenya Kigutha AA;94.0;Lee, Massachusetts;Kiambu growing region, south-central Kenya.;Medium Light;$17.95/12 ounces;60.0;78.0;5,28;17.95;;lee, massachusetts
Panama Altieri Natural Geisha;96.0;Los Angeles, California;Boquete growing region, western Panama;Medium;$49.95/8 ounces;49.0;72.0;22,02;49.95;Panama;los angeles, california
Organic Espresso;94.0;San Diego, California;Not disclosed.;Medium;$15.00/12 ounces;52.0;60.0;4,41;15.0;;san diego, california
Kemgin Ninety Plus;94.0;Lee, Massachusetts;Wellega, Sidama and Yirgacheffe growing regions, southern and western Ethiopia;Medium Light;$25.95/12 ounces;52.0;72.0;7,63;25.95;Ethiopia;lee, massachusetts
Ethiopia Nigusse Lemma;94.0;Lee, Massachusetts;Limu growing region, western Ethiopia;Medium Light;$16.95/12 ounces;58.0;76.0;4,98;16.95;Ethiopia;lee, massachusetts
Panama Don Pepe Estate Geisha Single-Origin Espresso;96.0;Sacramento, California;Boquete growing region, western Panama;Medium;$19.50/12 ounces;48.0;59.0;5,73;45796,00;Panama;sacramento, california
