coffee_name;total_score;roaster_location;coffee_origin;roast_level;est._price;agtron_ground;agtron_roast;price_per_100g;price_per_ounce;origin_country;clean_location;Country
Ka‘u Red Catuai Peaberry;94.0;Hilo, Hawaii;Ka‘u growing region, Big Island of Hawai’i;Medium Light;$30.00/4 ounces;59.0;74.0;26,46;30.0;;Hilo, Hawaii;USA
Ethiopia Kayon Mountain;94.0;Lexington, Virginia;Odo Shakiso District, Guji Zone, southern Ethiopia;Light;$20.95/12 ounces;64.0;82.0;6,16;20.95;Ethiopia;Lexington, Virginia;USA
Panama Finca Las Nubes Geisha Microlot;94.0;Waterbury Center, Vermont;Boquete growing region, Panama;Medium Light;$15.00/8 ounces;60.0;77.0;6,61;15.0;Panama;Waterbury, Vermont;USA
Guatemala El Milagro Bourbon Especial;95.0;Topeka, Kansas;Huehuetenango, Guatemala;Medium Light;$28.00/12 ounces;60.0;78.0;8,23;28.0;Guatemala;Topeka, Kansas;USA
Costa Rica William Mora;94.0;Phoenix, Arizona;Tarrazu growing region, Costa Rica;Light;$28.00/12 ounces;65.0;84.0;8,23;28.0;Rica;Phoenix, Arizona;USA
Ethiopia Duromina Agaro Gera;94.0;Mount Shasta, California;Agaro Gera, Jimma Zone, Oromia State, Ethiopia;Light;$17.00/12 ounces;62.0;81.0;5;17.0;Ethiopia;Mount Shasta, California;USA
Winter 2022 Allocation Colombia;94.0;Phoenix, Arizona;Quindio Department, Colombia;Light;$50.00/6 ounces;62.0;80.0;29,39;50.0;Colombia;Phoenix, Arizona;USA
Laura’s Reserve SL34;96.0;Holualoa, Hawai’i;Holualoa, North Kona growing district, “Big Island” of Hawai’i;Medium Light;$69.95/8 ounces;60.0;80.0;30,84;69.95;;Holualoa, Hawaii;USA
El Salvador 2022 COE#17 El Mirador Washed Gesha;96.0;Chia-Yi, Taiwan;Apaneca-Ilamatepec, El Salvador;Medium Light;NT $500/4 ounces;58.0;78.0;440,92;500.0;Salvador;Chia-Yi, Taiwan;Taiwan
Panama ABU Washed Gesha Lot GW57;95.0;Chia-Yi, Taiwan;Cañas Verdes, Boquete growing region, western Panama;Light;NT $1,000/4 ounces;64.0;84.0;0,88;;Panama;Chia-Yi, Taiwan;Taiwan
Guatemala Natural El General Bistro Lot Espresso;94.0;Chia-Yi, Taiwan;Acatenango, Chimaltenango, Guatemala;Medium Light;NT $290/8 ounces;58.0;76.0;127,87;290.0;Guatemala;Chia-Yi, Taiwan;Taiwan
Ethiopia 2022 COE#25 Natural Tadesse 74112;94.0;Chia-Yi, Taiwan;Gedeo Zone, SNNPR, southern Ethiopia;Light;NT $450 /4 ounces;65.0;84.0;396,83;450.0;Ethiopia;Chia-Yi, Taiwan;Taiwan
Ethiopia Washed Sidama Rumudamo;94.0;Chia-Yi, Taiwan;Arbegona, Sidamo growing region, south-central Ethiopia;Light;NT $390/8 ounces;64.0;86.0;171,96;390.0;Ethiopia;Chia-Yi, Taiwan;Taiwan
Lemon Sugar Wash;95.0;Taipei, Taiwan;Sidamo growing region, south-central Ethiopia;Medium Light;NT $550/225 grams;59.0;77.0;244,44;19.400352733686066;Ethiopia;Taipei, Taiwan;Taiwan
Kenya Kiambu AA;95.0;Taipei, Taiwan;Kiambu growing region, south-central Kenya;Medium Light;NT $650/225 grams;60.0;76.0;288,89;22.92768959435626;Kenya;Taipei, Taiwan;Taiwan
Colombia Geisha Allium;94.0;San Diego, California;Valle de Cauca Department, Colombia;Light;$65.00/8 ounces;62.0;84.0;28,66;65.0;Colombia;San Diego, California;USA
Wilton Benitez Orange Bourbon;96.0;Madison, Wisconsin;Piendamó, Cauca Department, Colombia;Light;$19.00/8 ounces;60.0;82.0;8,38;19.0;Colombia;Madison, Wisconsin;USA
Kayon Mountain Ethiopia;94.0;Madison, Wisconsin;Odo Shakiso District, Guji Zone, southern Ethiopia;Medium Light;$18.00/12 ounces;58.0;78.0;5,29;18.0;Ethiopia;Madison, Wisconsin;USA
Ethiopia Kochere Arefasa Washed G1;94.0;Nantou, Taiwan;Yirgacheffe growing region, southern Ethiopia;Light;NT $500/227 grams;62.0;80.0;220,26;17.636684303350968;Ethiopia;Nantou, Taiwan;Taiwan
Colombia Granja Paraíso Java P14;95.0;Minneapolis, Minnesota;Cauca Department, Colombia;Light;$50.00/4 ounces;64.0;82.0;44,09;50.0;Colombia;Minneapolis, Minnesota;USA
El Salvador Finca El Retiro Sudan Rume Natural;94.0;Chia-Yi, Taiwan;Apaneca-Ilamatepec growing region, El Salvador;Medium Light;$16.00/230 grams;62.0;78.0;6,96;0.564373897707231;Salvador;Chia-Yi, Taiwan;Taiwan
Ethiopia Hayissa Olocho Lot 6;94.0;Savannah, Georgia;Sidamo growing region, Ethiopia;Light;$27.00/10 ounces;61.0;82.0;9,52;27.0;Ethiopia;Savannah, Georgia;USA
Nyeri Hill Kenya;94.0;Madison, Wisconsin;Nyeri growing region, south-central Kenya;Medium Light;$22.00/12 ounces;58.0;80.0;6,47;22.0;Kenya;Madison, Wisconsin;USA
Ethiopia COE #8 Sidama Arbegona Muluneh Tute Galcho 74158 Natural;95.0;Yilan, Taiwan;Sidamo growing region, southern Ethiopia;Light;NT $1700/200 grams;63.0;82.0;850;59.9647266313933;Ethiopia;Yilan, Taiwan;Taiwan
Chelbessa Ethiopia;94.0;Madison, Wisconsin;Yirgacheffe growing region, southern Ethiopia;Medium Light;$20.00/12 ounces;60.0;78.0;5,88;20.0;Ethiopia;Madison, Wisconsin;USA
Ka’u Tropical Punch;94.0;Minneapolis, Minnesota;Ka'u growing region, Big Island of Hawai’i;Medium Light;$25.00/4 ounces;60.0;78.0;22,05;25.0;;Minneapolis, Minnesota;USA
Ethiopia Gesha Village Illubabor Forest Lot 22/043 (Single-Terroir) Natural Process;94.0;Taipei, Taiwan;Bench-Maji Zone, Southern Ethiopia;Light;NT $299/100 grams;64.0;84.0;299;10.54673721340388;Ethiopia;Taipei, Taiwan;Taiwan
Ethiopia Gera Genji Challa;94.0;San Diego, California;Agaro Gera, Jimma Zone, Oromia State, Ethiopia;Medium Light;$28.00/12 ounces;59.0;77.0;8,23;28.0;Ethiopia;San Diego, California;USA
Kenya Gotomboya Peaberry;94.0;San Diego, California;Nyeri growing region, south-central Kenya;Medium Light;$27.00/12 ounces;59.0;77.0;7,94;27.0;Kenya;San Diego, California;USA
Panama Hartmann Estate Chicho Gallo Amaro Gayo Natural BOP#1;94.0;Taipei, Taiwan;Chiriqui Province, far western Panama;Medium Light;NT $549/100 grams;60.0;78.0;549;19.365079365079364;Panama;Taipei, Taiwan;Taiwan
Kenya Ichamama;94.0;San Diego, California;Nyeri growing region, south-central Kenya;Medium Light;$28.00/12 ounces;59.0;77.0;8,23;28.0;Kenya;San Diego, California;USA
Ethiopia Uchoro Nansebo Washed;95.0;Floyd, Virginia;Yirgacheffe growing region, southern Ethiopia;Light;$27.00/12 ounces;60.0;82.0;7,94;27.0;Ethiopia;Floyd, Virginia;USA
Nekisse Phantom Roasting;95.0;Hong Kong, China;Sidamo growing region, south-central Ethiopia;Light;HKD $650/150 grams;64.0;83.0;433,33;;Ethiopia;Hong Kong, China;China
Colombia Finca Samboni Gesha Anaerobic Natural;94.0;Floyd, Virginia;Algeciras, Huila Department, Colombia;Medium Light;$30.00/12 ounces;62.0;78.0;8,82;30.0;Colombia;Floyd, Virginia;USA
Kambera Inari Roasting;94.0;Hong Kong, China;Piedra Candela, Panama;Light;HKD $530/150 grams;62.0;80.0;353,33;;Panama;Hong Kong, China;China
Colombia Don Correa Gesha;94.0;Lexington, Virginia;San Jose, Caldas, Colombia;Light;$32.95/12 ounces;62.0;80.0;9,69;32.95;Colombia;Lexington, Virginia;USA
Ethiopia BergWu Maker Series Yirgacheffe Wuri G1 Lot MW21/02;94.0;Hong Kong, China;Yirgacheffe growing region, southern Ethiopia;Medium Light;HKD $128/200 grams;62.0;78.0;64;;Ethiopia;Hong Kong, China;China
Mexico Finca Santa Cruz COE#1b;94.0;Macao, China;La Concordia, Chiapas State, Mexico;Light;HKD $498/100 grams;64.0;84.0;498;;Mexico;Macao, China;China
Wilton Benitez Geisha;95.0;Madison, Wisconsin;Piendamó, Cauca Department, Colombia;Medium Light;$25.00/8 ounces;59.0;81.0;11,02;25.0;Colombia;Madison, Wisconsin;USA
Colombia Cerro Azul Geisha;95.0;San Diego, California;Trujillo, Valle del Cauca Department, Colombia;Light;$59.00/8 ounces;62.0;80.0;26,01;59.0;Colombia;San Diego, California;USA
Yirgacheffe Mengesha Natural;94.0;Glendale, California;Yirgacheffe growing region, southern Ethiopia;Medium Light;$20.50/12 ounces;60.0;77.0;6,03;45797;Ethiopia;Glendale, California;USA
Panama Geisha Finca Debra Symbiosis;94.0;Redding, California;Volcan growing region, western Panama;Light;$45.00/4 ounces;62.0;80.0;39,68;45.0;Panama;Redding, California;USA
Panama Geisha Finca Debra Echo;94.0;Redding, California;Volcan growing region, western Panama;Light;$40.00/200 grams;64.0;80.0;20;1.4109347442680775;Panama;Redding, California;USA
Ethiopia Hamasho Washed;95.0;Minnesota, Minnesota;Bombe Mountains, Sidama Region, Ethiopia;Light;$25.00/12 ounces;62.0;81.0;7,35;25.0;Ethiopia;Minnesota, Minnesota;USA
Ethiopia Idido Anaerobic Natural;95.0;Minneapolis, Minnesota;Yirgacheffe growing region, southern Ethiopia;Medium Light;$20.00/6 ounces;61.0;80.0;11,76;20.0;Ethiopia;Minneapolis, Minnesota;USA
Mexico Cup of Excellence #7;94.0;Manlius, New York;Coatepec, Veracruz State, Mexico;Light;$40.00/12 ounces;62.0;80.0;11,76;40.0;Mexico;Manlius, New York;USA
Ethiopia Reko Yirgacheffe;94.0;Sacramento, California;Yirgacheffe growing region, southern Ethiopia;Medium Light;$23.50/12 ounces;60.0;76.0;6,91;45800;Ethiopia;Sacramento, California;USA
Double-Anaerobic Fermentation Tamiru Tadesse;94.0;Big Lake, Alaska;Sidamo growing region, south-central Ethiopia;Light;$40.00/10 ounces;62.0;80.0;14,11;40.0;Ethiopia;Big Lake, Alaska;USA
Ethiopia Chelbesa Danche Yirgacheffe;94.0;San Diego, California;Chelchele, Gedeb District, Gedeo Zone, Ethiopia;Medium Light;$24.00/12 ounces;60.0;77.0;7,05;24.0;Ethiopia;San Diego, California;USA
Ethiopia Honey Process Tamiru Tadesse;94.0;Big Lake, Alaska;Sidamo growing region, south-central Ethiopia;Light;$35.00/10 ounces;64.0;83.0;12,35;35.0;Ethiopia;Big Lake, Alaska;USA
Ethiopia Halo Beriti;96.0;Lexington, Virginia;Yirgacheffe growing region, southern Ethiopia;Medium Light;$20.95/12 ounces;60.0;77.0;6,16;20.95;Ethiopia;Lexington, Virginia;USA
Narsha Gesha;96.0;Denver, Colorado;Bench-Maji Zone, southern Ethiopia;Light;$35.00/200 grams;63.0;81.0;17,5;1.2345679012345678;Ethiopia;Denver, Colorado;USA
Ethiopia Washed Guji Uraga Welichu;96.0;Chia-Yi, Taiwan;Guji Zone, Oromia Region, southern Ethiopia;Medium Light;NT $375/8 ounces;58.0;78.0;165,34;375.0;Ethiopia;Chia-Yi, Taiwan;Taiwan
Don Roger & Isabel’s Natural Fruit Symphony;94.0;Rochester, New York;Jinotega Department, Nicaragua;Medium Light;$19.00/175 grams;60.0;77.0;10,86;0.6701940035273368;Nicaragua;Rochester, New York;USA
Kenya Gitare AA TOP;95.0;Chia-Yi, Taiwan;Embu County, Eastern Province, Kenya;Light;NT $340/8 ounces;62.0;80.0;149,91;340.0;Kenya;Chia-Yi, Taiwan;Taiwan
Yemen Natural Sana’a Manakhah Ja’adi;95.0;Chia-Yi, Taiwan;Manakhah, Sana'a, Yemen;Medium Light;NT $900/4 ounces;58.0;77.0;793,65;900.0;Yemen;Chia-Yi, Taiwan;Taiwan
Ethiopia Bench Maji Gesha Special Natural Lot 03;95.0;Chia-Yi, Taiwan;Bench-Maji Zone, southern Ethiopia;Light;NT $400/8 ounces;64.0;81.0;176,37;400.0;Ethiopia;Chia-Yi, Taiwan;Taiwan
Ethiopia Yirgacheffe Kochere Debo Premium Lot Washed Process;94.0;Taipei, Taiwan;Yirgacheffe growing region, southern Ethiopia;Light;NT $459/8 ounces;62.0;80.0;202,38;459.0;Ethiopia;Taipei, Taiwan;Taiwan
Ethiopia Natural Yirgacheffe Burtukaana Danche;94.0;Chia-Yi, Taiwan;Gedeo Zone, southern Ethiopia;Medium Light;NT $350/8 ounces;60.0;78.0;154,32;350.0;Ethiopia;Chia-Yi, Taiwan;Taiwan
Ethiopia Hateso Guji Washed;94.0;Bozeman, Montana;Guji Zone, Oromia Region, Ethiopia;Medium Light;$20.00/12 ounces;59.0;78.0;5,88;20.0;Ethiopia;Bozeman, Montana;USA
Guatemala El Injerto Pacamara;94.0;San Rafael, California;La Libertad, Huehuetenango Department, Guatemala;Medium Light;$22.00/6 ounces;58.0;74.0;12,93;22.0;Guatemala;San Rafael, California;USA
Colombia Finca Samboni Gesha Anaerobic Natural;95.0;Charlotte, North Carolina;Algeciras, Huila Department, Colombia;Light;$45.00/12 ounces;62.0;80.0;13,23;45.0;Colombia;Charlotte, North Carolina;USA
Colombia Tres Dragones;94.0;San Diego, California;Caicedonia, Valle de Cauca Department, Colombia;Light;$23.00/10 ounces;64.0;84.0;8,11;23.0;Colombia;San Diego, California;USA
Rwanda Cyesha Natural;94.0;Charlotte, North Carolina;Nyamasheke District, Lake Kivu, Rwanda;Medium Light;$26.00/12 ounces;58.0;74.0;7,64;26.0;Rwanda;Charlotte, North Carolina;USA
Espresso No. 3;94.0;Antigua, Guatemala;Antigua growing region, Guatemala;Medium Light;$20.00/12 ounces;54.0;78.0;5,88;20.0;Guatemala;Antigua, Guatemala;Guatemala
Finca Santa Isabel;94.0;Antigua, Guatemala;Cobán growing region, Alta Verapaz Department, Guatemala;Medium Light;$13.00/12 ounces;58.0;76.0;3,82;13.0;Guatemala;Antigua, Guatemala;Guatemala
Colombia Castillo Fruit Maceration Series (Passionfruit);95.0;Jersey City, New Jersey;Armenia, Quindio Department, Colombia;Medium Light;$25.00/8 ounces;58.0;78.0;11,02;25.0;Colombia;Jersey, New Jersey;USA
Colombia Castillo Fruit Maceration Series (Strawberry);94.0;Jersey City, New Jersey;Armenia, Quindio Department, Colombia;Medium Light;$25.00/8 ounces;61.0;78.0;11,02;25.0;Colombia;Jersey, New Jersey;USA
Colombia Castillo Fruit Maceration Series (Peach);94.0;Jersey City, New Jersey;Armenia, Quindio Department, Colombia;Medium Light;$25.00/8 ounces;60.0;77.0;11,02;25.0;Colombia;Jersey, New Jersey;USA
Full Moon Espresso;95.0;Taipei, Taiwan;"Ethiopia; Guatemala; El Salvador; Panama; Costa Rica";Medium;NT $550/200 grams;48.0;64.0;275;19.400352733686066;Rica;Taipei, Taiwan;Taiwan
Ethiopia Sidama Tamiru Tadesse Anaerobic Natural Special Auction Lot;95.0;Taipei, Taiwan;Guji Zone, Oromia Region, southern Ethiopia;Light;$10.00/4 ounces;62.0;80.0;8,82;10.0;Ethiopia;Taipei, Taiwan;Taiwan
Colombia La Esperanza 100% Geisha Hanashaku;94.0;Taoyuan, Taiwan;Valle de Cauca, Colombia;Light;NT$500/4 ounces;65.0;81.0;440,92;500.0;Colombia;Taoyuan, Taiwan;Taiwan
Kona Extra Fancy;95.0;Lincoln, California;Kona growing region, “Big Island” of Hawai’i;Medium Light;$45.99/12 ounces;58.0;74.0;13,52;45.99;;Lincoln, California;USA
Costa Rica Las Lajas Perla Negra;94.0;Durango, Colorado;Sabanilla de Alajuela growing region, Costa Rica;Medium Light;$18.95/12 ounces;57.0;76.0;5,57;18.95;Rica;Durango, Colorado;USA
Ecuador COE 1st place Arashi Typica Mejorado Washed;96.0;Yilan, Taiwan;Saraguro, Loja, Ecuador;Light;NT $800/20 grams;62.0;80.0;4000;28.21869488536155;Ecuador;Yilan, Taiwan;Taiwan
Ethiopia Getu Kurume Natural;95.0;Hsinchu, Taiwan;Yirgacheffe growing region, southern Ethiopia;Light;NT $460/8 ounces;64.0;86.0;202,82;460.0;Ethiopia;Hsinchu, Taiwan;Taiwan
Fruit of the Goddess Espresso Blend;94.0;Taipei City, Taiwan;"Kenya; Costa Rica; Ethiopia";Medium Light;NT $550/454 grams;52.0;70.0;121,15;19.400352733686066;Ethiopia;Taipei, Taiwan;Taiwan
Papua New Guinea Wahgi Valley Sigri Estate Peaberry;94.0;Taipei City, Taiwan;Western Highlands Province, Papua New Guinea;Medium Light;NT $550/227 grams;57.0;77.0;242,29;19.400352733686066;Guinea;Taipei, Taiwan;Taiwan
Kenya Nyeri Asali Peaberry;95.0;Taipei City, Taiwan;Nyeri growing region, south-central Kenya;Medium Light;NT $500/227 grams;60.0;77.0;220,26;17.636684303350968;Kenya;Taipei, Taiwan;Taiwan
Memories of Autumn;94.0;Taitung, Taiwan;"Ethiopia; Colombia";Light;NT$399/8 ounces;64.0;82.0;175,93;399.0;Colombia;Taitung, Taiwan;Taiwan
Ethiopia Gera Estate Anaerobic Natural;95.0;Charlotte, North Carolina;Djimma growing region, Oromia State, Ethiopia;Medium Light;$22.00/12 ounces;60.0;78.0;6,47;22.0;Ethiopia;Charlotte, North Carolina;USA
Colombia Cauca Finca El Paraiso Double-Anaerobic Flor Lychee;95.0;Changhua, Taiwan;Cauca Department, Colombia;Medium Light;NT $520/200g;60.0;78.0;;;Colombia;Changhua, Taiwan;Taiwan
Costa Rica Cerro Dragon Geisha Honey;94.0;Bozeman, Montana;Tarrazú, Costa Rica;Medium Light;$30.00/12 ounces;59.0;78.0;8,82;30.0;Rica;Bozeman, Montana;USA
Guatemala Washed El Injerto EI05 Mocca;96.0;Chia-Yi, Taiwan;La Libertad, Huehuetenango Department, Guatemala;Light;NT $1200/4 ounces;61.0;81.0;1058,2;1200.0;Guatemala;Chia-Yi, Taiwan;Taiwan
Taiwan Natural Alishan Zhuo-Wu Geisha;95.0;Chia-Yi, Taiwan;Alishan, Chia-Yi, Taiwan;Medium Light;NT $600/50 grams;60.0;78.0;1200;21.164021164021165;Taiwan;Chia-Yi, Taiwan;Taiwan
Ethiopia Natural Guji Uraga Tome 74110 Lot K06;95.0;Chia-Yi, Taiwan;Guji Zone, Oromia Region, southern Ethiopia;Light;NT $325/8 ounces;63.0;85.0;143,3;325.0;Ethiopia;Chia-Yi, Taiwan;Taiwan
Kenya Gathaithi AA;94.0;Montrose, Colorado;Nyeri growing region, south-central Kenya;Medium Light;$14.00/250 grams;58.0;76.0;5,6;0.49382716049382713;Kenya;Montrose, Colorado;USA
Ethiopia Guji Uraga Tobutu Tuta G1 Experimental LOT 181NA2021;95.0;Osaka, Japan;Guji Zone, Oromia Region, southern Ethiopia;Light;$12.50/100 grams;72.0;90.0;12,5;0.4409171075837742;Ethiopia;Osaka, Japan;Japan
Colombia Jardines del Eden Pink Bourbon Wine Yeast Honey;94.0;Toronto, Canada;Pijao, Quindio Department, Colombia;Light;CAD $30.00/250 grams;64.0;86.0;12;;Colombia;Toronto, Canada;Canada
Colombia Cerro Azul Enano;94.0;San Rafael, California;Trujillo, Valle del Cauca Department, Colombia;Medium Light;$26.00/12 ounces;60.0;77.0;7,64;26.0;Colombia;San Rafael, California;USA
Peru Incahuasi;94.0;Phoenix, Arizona;Cusco Region, Peru;Medium Light;$26.00/12 ounces;58.0;78.0;7,64;26.0;Peru;Phoenix, Arizona;USA
Reina de la Asuncion Ecuador;94.0;Madison, Wisconsin;Congonama, Loja, Ecuador;Medium Light;$20.00/12 ounces;58.0;74.0;5,88;20.0;Ecuador;Madison, Wisconsin;USA
Ethiopia Guji Uraga More Floral Kudume Washed;95.0;Yilan, Taiwan;Guji Zone, Oromia Region, Southern Ethiopia;Light;NT $550/200 grams;65.0;82.0;275;19.400352733686066;Ethiopia;Yilan, Taiwan;Taiwan
Ethiopia Guji Uraga More Floral Kudume Natural;94.0;Yilan, Taiwan;Guji Zone, Oromia Region, Southern Ethiopia;Medium Light;NT $550/200 grams;62.0;77.0;275;19.400352733686066;Ethiopia;Yilan, Taiwan;Taiwan
Kenya Nyeri Hill;94.0;Lexington, Virginia;Nyeri growing region, south-central Kenya;Medium Light;$21.95/12 ounces;60.0;78.0;6,45;21.95;Kenya;Lexington, Virginia;USA
Kenya AA TOP Nairobi Rose;94.0;Taipei, Taiwan;Embu County, Kenya;Medium Light;NT $400/8 ounces;60.0;77.0;176,37;400.0;Kenya;Taipei, Taiwan;Taiwan
Kahiko;96.0;Holualoa, Hawaii;Holualoa, North Kona growing district, “Big Island” of Hawai’i;Medium Light;$47.95/8 ounces;56.0;74.0;21,14;47.95;;Holualoa, Hawaii;USA
Kenya Ndumberi Peaberry;94.0;San Diego, California;Kiambu County, Kenya;Medium Light;$27.00/14 ounces;58.0;77.0;6,8;27.0;Kenya;San Diego, California;USA
Taiwan Alishan Espresso Pacamara Natural;94.0;Taoyuan, Taiwan;Alishan Township, Chiayi County, Taiwan;Medium;NT $2300/230 grams;48.0;67.0;1000;81.12874779541445;Taiwan;Taoyuan, Taiwan;Taiwan
Ethiopia Gera Reserve Anaerobic Natural;94.0;Youngstown, Ohio;Djimma growing region, Oromia State, Ethiopia;Light;$19.50/10 ounces;62.0;84.0;6,88;45796;Ethiopia;Youngstown, Ohio;USA
Kenya Ngaita Peaberry;94.0;San Diego, California;Kiambu County, Kenya;Medium Light;$27.00/14 ounces;60.0;77.0;6,8;27.0;Kenya;San Diego, California;USA
Kenya AB;94.0;New Taipei City, Taiwan;Nyeri growing region, south-central Kenya;Light;NT $750/230 grams;64.0;84.0;326,09;26.455026455026452;Kenya;New Taipei, Taiwan;Taiwan
Kona Noir;94.0;Mountain View, Hawaii;Holualoa, Kona, Big Island of Hawai’i;Light;$29.00/4 ounces;62.0;80.0;25,57;29.0;;Mountain View, Hawaii;USA
Kona Red Bourbon;94.0;Mountain View, Hawaii;Holualoa, Kona, Big Island of Hawai’i;Medium Light;$49.00/10 ounces;60.0;78.0;17,28;49.0;;Mountain View, Hawaii;USA
Kenya Washed Nyeri Hill Farm AA Top;96.0;Chia-Yi, Taiwan;Nyeri growing region, south-central Kenya;Medium Light;NT $390/8 ounces;60.0;77.0;171,96;390.0;Kenya;Chia-Yi, Taiwan;Taiwan
Ethiopia Nano Genji;95.0;Sacramento, California;Agaro Gera, Jimma Zone, Oromia State, Ethiopia;Light;$25.50/12 ounces;62.0;80.0;7,5;45802;Ethiopia;Sacramento, California;USA
Ethiopia Natural Sidama Abebe 74110;95.0;Chia-Yi, Taiwan;Sidamo growing region, southern Ethiopia;Light;NT $300/4 ounces;62.0;80.0;264,55;300.0;Ethiopia;Chia-Yi, Taiwan;Taiwan
Ethiopia Natural Guji TAMIRU 74158 Kakalove Lot;95.0;Chia-Yi, Taiwan;Guji Zone, Oromia Region, southern Ethiopia;Light;NT $350/4 ounces;64.0;84.0;308,64;350.0;Ethiopia;Chia-Yi, Taiwan;Taiwan
Rwanda Sholi Natural Single-Origin Espresso;94.0;Sacramento, California;Muhanga, Rwanda;Medium Light;$22.00/12 ounces;56.0;72.0;6,47;22.0;Rwanda;Sacramento, California;USA
Guatemala Washed Finca El General Lot SummerEnd Espresso;94.0;Chia-Yi, Taiwan;Acatenango, Chimaltenango Department, Guatemala;Medium Light;NT $240/8 ounces;56.0;74.0;105,82;240.0;Guatemala;Chia-Yi, Taiwan;Taiwan
Guatemala Washed Acatenango Finca El General Pacamara Espresso;94.0;Chia-Yi, Taiwan;Acatenango, Chimaltenango Department, Guatemala;Medium Light;NT $350/8 ounces;58.0;78.0;154,32;350.0;Guatemala;Chia-Yi, Taiwan;Taiwan
Finca Cerro Azul Aces Lot;94.0;Billings, Montana;Guerrero State, Mexico;Medium Light;$32.25/8 ounces;61.0;79.0;14,22;32.25;Mexico;Billings, Montana;USA
Gachatha Kenya;96.0;Madison, Wisconsin;Karundu, Nyeri County, Kenya;Medium Light;$24.00/12 ounces;59.0;77.0;7,05;24.0;Kenya;Madison, Wisconsin;USA
Geisha Spirit;94.0;Manassas, Virginia;Tolima Department, Colombia;Medium Light;$39.50/12 ounces;58.0;78.0;11,61;39.5;Colombia;Manassas, Virginia;USA
Colombia Sudan Rume;95.0;San Diego, California;Valle del Cauca Department, Colombia;Light;$80.00/8 ounces;64.0;82.0;35,27;80.0;Colombia;San Diego, California;USA
El Duende Peru;94.0;Madison, Wisconsin;Huarango, San Ignacio, Cajamarca growing region, Peru;Medium Light;$17.00/12 ounces;58.0;76.0;5;17.0;Peru;Madison, Wisconsin;USA
Ethiopia Yirgacheffe G1 Idido Natural;95.0;Yilan, Taiwan;Gedeo Zone, SNNP Region, southern Ethiopia;Light;NT $550/200 grams;65.0;85.0;275;19.400352733686066;Ethiopia;Yilan, Taiwan;Taiwan
Colombia Pink Bourbon Filadelfia;95.0;San Diego, California;Huila Department, Colombia;Light;$26.00/10 ounces;64.0;82.0;9,17;26.0;Colombia;San Diego, California;USA
Ethiopia Kayon Mountain;94.0;Tucson, Arizona;Odo Shakiso District, Guji Zone, southern Ethiopia;Medium Light;$20.00/12 ounces;60.0;78.0;5,88;20.0;Ethiopia;Tucson, Arizona;USA
Kenya;95.0;Taipei City, Taiwan;Nyeri growing region, south-central Kenya;Medium Light;NT $600/227 grams;62.0;77.0;264,32;21.164021164021165;Kenya;Taipei, Taiwan;Taiwan
Karen J Kona Red Bourbon;96.0;Holualoa, Hawai’i;Holualoa, North Kona growing district, “Big Island” of Hawai’i;Medium Light;$54.95/8 ounces;58.0;78.0;24,23;54.95;;Holualoa, Hawaii;USA
Ethiopia Worka Sakaro;95.0;Floyd, Virginia;Gedeb District, Gedeo Zone, southern Ethiopia;Medium Light;$22.00/12 ounces;60.0;78.0;6,47;22.0;Ethiopia;Floyd, Virginia;USA
Colombia Geisha;94.0;San Diego, California;Planadas, Tolima, Colombia;Medium Light;$24.00/8 ounces;58.0;76.0;10,58;24.0;Colombia;San Diego, California;USA
Colombia Don Ruiz Anaerobic;95.0;Lexington, Virginia;Caldas, Colombia;Medium Light;$28.50/12 ounces;60.0;78.0;8,38;45805;Colombia;Lexington, Virginia;USA
Colombia FUDAM Nariño;94.0;Lexington, Virginia;La Union, Nariño, Colombia;Light;$18.50/12 ounces;62.0;80.0;5,44;45795;Colombia;Lexington, Virginia;USA
Ethiopia Durato Bombe;95.0;Miami, Florida;Sidamo growing region, southern Ethiopia;Light;$24.00/12 ounces;68.0;92.0;7,05;24.0;Ethiopia;Miami, Florida;USA
Pantan Musara Sumatra;94.0;Madison, Wisconsin;Aceh Province, Sumatra, Indonesia;Medium Light;$21.00/12 ounces;58.0;76.0;6,17;21.0;Indonesia;Madison, Wisconsin;USA
Sumatra Takengon Gayo Natural;94.0;Portland, Maine;Aceh Province, Sumatra, Indonesia;Light;$21.50/16 ounces;62.0;80.0;4,74;45798;Indonesia;Portland, Maine;USA
Nano Genji #7;95.0;Madison, Wisconsin;Agaro Gera, Jimma Zone, Oromia State, Ethiopia;Medium Light;$19.00/12 ounces;58.0;78.0;5,59;19.0;Ethiopia;Madison, Wisconsin;USA
Panama Auromar Camilina Geisha Natural;95.0;Henderson, Nevada;Piedra Candela, Chiriqui Province, far western Panama;Medium Light;$50.00/4 ounces;60.0;78.0;44,09;50.0;Panama;Henderson, Nevada;USA
Tio Conejo Colombia;94.0;Madison, Wisconsin;Vereda Santa Rita, Manizales, Caldas, Colombia;Medium Light;$18.00/8 ounces;58.0;76.0;7,94;18.0;Colombia;Madison, Wisconsin;USA
Panama Auromar Ironman Geisha Washed Process;94.0;Henderson, Nevada;Piedra Candela, Chiriqui Province, far western Panama;Medium Light;$50.00/4 ounces;60.0;78.0;44,09;50.0;Panama;Henderson, Nevada;USA
